fold,algorithm,Pearson,Spearman,R^2,Pearson: normalized,Spearman: normalized,R^2: normalized
2,OncoMLP (X_pca),0.2893550309697721,0.305326304603125,0.07449671451751849,0.30277607289763536,0.3312624239272254,0.08617886779122164
2,OncoMLP (X_scGPT),0.3796795696545173,0.38512617298027196,0.13527489588002695,0.4114638118941766,0.4380665776947732,0.14618987734406597
3,NaivePredictor,0.0,0.0,-0.0036325804057295574,-0.020803316638075983,-0.0007851344965254577,-0.022479539779475033
3,NaiveDrugMeanPredictor,0.13732226221947808,0.11101744161766075,0.014713876079378796,0.0,0.0,-0.0037885598833318213
3,NaiveCellLineMeanPredictor,0.0,0.0,-0.0036325804057295574,-0.020803316638075983,-0.0007851344965254577,-0.022479539779475033
3,NaiveMeanEffectsPredictor,0.13732226221947808,0.11101744161766075,0.014713876079378796,0.0,0.0,-0.0037885598833318213
3,SingleDrugRF (pca),0.13656939719483013,0.13020619381803386,0.01448247214082643,0.06591693563879836,0.0697960362824893,-0.0040243092972245265
3,SingleDrugEN (pca),0.32440154159923473,0.26791099438434385,0.08189343228638668,0.3055246277434661,0.22701333041185512,0.06465254401682474
3,SingleDrugRF (scgpt),0.3514472910042673,0.36869240489295246,0.11694123427013703,0.3272044174413177,0.3466301326250564,0.10035849970445332
3,SingleDrugEN (scgpt),0.13732226221947808,0.11101744161766075,0.014713876079378796,0.0,0.0,-0.0037885598833318213
3,OncoMLP (X_pca),0.37669673019472416,0.4016202132525187,0.08892210190925387,0.35945608595900463,0.3870260916731274,0.07181320322773421
3,OncoMLP (X_scGPT),0.34930945228919696,0.3736629710581703,0.11206743796327667,0.3293310714862415,0.3560515525002431,0.0953931796240679
4,NaivePredictor,0.0,0.0,-0.00018599781371264612,-0.010305483343242983,0.020786322320135837,-0.01882217342135828
4,NaiveDrugMeanPredictor,0.1356323816613186,0.10070260239804547,0.0180708098030401,0.0,0.0,-0.00022519200340820333
4,NaiveCellLineMeanPredictor,0.0,0.0,-0.00018599781371264612,-0.010305483343242983,0.020786322320135837,-0.01882217342135828
4,NaiveMeanEffectsPredictor,0.1356323816613186,0.10070260239804547,0.0180708098030401,0.0,0.0,-0.00022519200340820333
4,SingleDrugRF (pca),0.12637090593713293,0.09728383186508115,0.010957314887819258,0.04001130243443224,0.012179749843025466,-0.007471230606217016
4,SingleDrugEN (pca),0.34097310088510296,0.30168121117557334,0.08718662931073518,0.3511419666052495,0.36610580301881035,0.07017844252312067
4,SingleDrugRF (scgpt),0.4147681540061273,0.4362368293382341,0.15902890204964737,0.39326786021544,0.4274571304760528,0.14335933149315527
4,SingleDrugEN (scgpt),0.1356323816613186,0.10070260239804547,0.0180708098030401,0.0,0.0,-0.00022519200340820333
4,OncoMLP (X_pca),0.3614569656772296,0.37461009697121034,0.12744883049057298,0.33839674997880975,0.3680166967841592,0.11119083762006787
4,OncoMLP (X_scGPT),0.375222489777994,0.34334297854703416,0.1383583331883984,0.35343228170557994,0.33393273530703627,0.12230361391751687
5,NaivePredictor,0.0,0.0,-0.0007162133801008608,0.0937405433999266,0.09229155422794803,0.0034154935735125624
5,NaiveDrugMeanPredictor,0.06839483368938266,0.05151473062456097,-0.004880905322260487,0.0,0.0,-0.0007320033972584294
5,NaiveCellLineMeanPredictor,0.0,0.0,-0.0007162133801008608,0.0937405433999266,0.09229155422794803,0.0034154935735125624
5,NaiveMeanEffectsPredictor,0.06839483368938266,0.05151473062456097,-0.004880905322260487,0.0,0.0,-0.0007320033972584294
5,SingleDrugRF (pca),0.1332948401601824,0.10184003220056352,0.008589639853805453,0.11684876849588967,0.09417817443384206,0.012682925266924383
5,SingleDrugEN (pca),0.20201661874240345,0.14653744539605357,0.039683980043777045,0.23623120462404557,0.1870335907312195,0.043648884703328505
5,SingleDrugRF (scgpt),0.24609845594013047,0.245178843261336,0.05143911895799047,0.2418861581047243,0.25095133901685385,0.055355489589069884
5,SingleDrugEN (scgpt),0.06839483368938266,0.05151473062456097,-0.004880905322260487,0.0,0.0,-0.0007320033972584294
5,OncoMLP (X_pca),0.2897002187437139,0.24219787004167312,0.07481962967613898,0.28540445641827283,0.2630232213274259,0.07863946802621646
5,OncoMLP (X_scGPT),0.2835400556371471,0.22656243852688476,0.06953826325939405,0.27877150807894285,0.25452215150607244,0.0733799070504716
